"productkey","productalternatekey","productsubcategorykey","englishproductname","color","safetystocklevel","reorderpoint","size","daystomanufacture","productline","modelname","englishdescription","startdate","enddate","status"
1,"AR-5381",NULL,"Adjustable Race","NA",1000,750,NULL,0,NULL,NULL,NULL,"00:00.0",NULL,"Current"
2,"BA-8327",NULL,"Bearing Ball","NA",1000,750,NULL,0,NULL,NULL,NULL,"00:00.0",NULL,"Current"
3,"BE-2349",NULL,"BB Ball Bearing","NA",800,600,NULL,1,NULL,NULL,NULL,"00:00.0",NULL,"Current"
4,"BE-2908",NULL,"Headset Ball Bearings","NA",800,600,NULL,0,NULL,NULL,NULL,"00:00.0",NULL,"Current"
5,"BL-2036",NULL,"Blade","NA",800,600,NULL,1,NULL,NULL,NULL,"00:00.0",NULL,"Current"
6,"CA-5965",NULL,"LL Crankarm","Black",500,375,NULL,0,NULL,NULL,NULL,"00:00.0",NULL,"Current"
7,"CA-6738",NULL,"ML Crankarm","Black",500,375,NULL,0,NULL,NULL,NULL,"00:00.0",NULL,"Current"
8,"CA-7457",NULL,"HL Crankarm","Black",500,375,NULL,0,NULL,NULL,NULL,"00:00.0",NULL,"Current"
9,"CB-2903",NULL,"Chainring Bolts","Silver",1000,750,NULL,0,NULL,NULL,NULL,"00:00.0",NULL,"Current"
10,"CN-6137",NULL,"Chainring Nut","Silver",1000,750,NULL,0,NULL,NULL,NULL,"00:00.0",NULL,"Current"
11,"CR-7833",NULL,"Chainring","Black",1000,750,NULL,0,NULL,NULL,NULL,"00:00.0",NULL,"Current"
12,"CR-9981",NULL,"Crown Race","NA",1000,750,NULL,0,NULL,NULL,NULL,"00:00.0",NULL,"Current"
13,"CS-2812",NULL,"Chain Stays","NA",1000,750,NULL,1,NULL,NULL,NULL,"00:00.0",NULL,"Current"
14,"DC-8732",NULL,"Decal 1","NA",1000,750,NULL,0,NULL,NULL,NULL,"00:00.0",NULL,"Current"
15,"DC-9824",NULL,"Decal 2","NA",1000,750,NULL,0,NULL,NULL,NULL,"00:00.0",NULL,"Current"
